0.405um,0.56um,0.83um,1.15um,1.5um,2um,2.65um,3.5um,4.6um,5.85um,7.25um,9um,11um,13um,15um,17um,19um,21um,23.5um,26.5um,29.5um,32.5um,35.5um,38.5um
10,40,78,63,202,285,267,70,31,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,28,81,49,177,287,268,73,40,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,36,72,65,183,281,245,65,46,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2,37,72,71,193,294,234,57,47,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6,44,79,68,168,259,254,69,44,11,6,5,1,0,0,0,0,0,0,0,0,0,0,0
2,41,88,67,188,293,264,48,47,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,37,51,58,172,294,252,57,36,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0
6,30,90,55,180,294,250,67,41,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0
4,40,78,70,179,301,269,64,30,17,5,1,1,0,0,0,0,0,0,0,0,0,0,0
5,33,62,60,170,271,279,72,46,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0
5,30,80,63,177,314,262,59,43,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0
4,46,74,52,182,286,290,76,61,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,29,64,56,177,279,285,73,56,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,25,65,44,182,273,330,60,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,39,49,49,183,291,275,46,43,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,31,69,55,211,312,292,66,44,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,40,86,68,215,334,264,54,40,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,33,98,69,199,311,254,51,48,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,29,52,60,174,330,271,75,44,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0
4,37,66,65,175,287,260,65,54,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,30,64,70,183,283,246,64,39,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,39,76,67,190,289,261,64,55,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,97,93,251,290,258,40,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,42,84,71,215,341,264,52,54,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,40,69,66,216,296,266,65,44,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,41,87,68,225,301,307,83,52,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27,59,57,165,276,290,49,51,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,48,51,166,270,290,68,63,21,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,24,58,38,164,278,263,72,49,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0
6,27,62,42,148,258,264,67,46,10,1,1,2,0,1,1,0,0,0,0,0,0,0,0
3,28,56,42,181,274,284,66,46,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0
4,26,44,43,141,234,255,81,57,16,4,1,2,0,0,0,0,0,0,0,0,0,0,0
4,28,68,55,191,301,308,69,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,69,60,170,308,319,67,38,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,33,106,72,244,333,227,47,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,37,79,75,197,288,268,47,31,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,35,54,54,179,254,271,71,53,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,22,60,59,191,305,248,59,45,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0
8,41,84,61,228,314,234,65,38,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,57,83,78,210,331,255,60,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,40,104,74,222,316,260,70,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,44,114,78,229,310,278,53,34,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0
8,47,75,79,203,309,250,44,34,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0
8,35,73,77,206,295,277,80,31,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,48,78,68,192,309,244,58,46,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2,49,82,65,209,315,248,50,40,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0
8,46,103,73,220,344,254,44,34,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,47,71,71,197,366,245,67,51,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,43,80,73,221,293,252,47,44,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,48,67,50,183,301,249,79,44,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,53,87,58,206,297,235,54,26,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,64,57,132,288,296,77,46,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,47,48,177,284,295,83,69,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,29,71,60,167,280,263,68,40,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,44,106,75,210,309,252,61,38,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3,49,94,81,200,297,276,74,36,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,36,82,65,236,294,290,62,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,50,88,73,244,316,248,64,48,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,52,89,77,212,320,247,52,39,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
14,66,127,96,259,360,246,40,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,60,110,88,231,321,259,51,44,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,50,125,95,210,331,284,52,31,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0
12,51,115,83,228,321,254,50,42,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,49,105,96,225,357,252,65,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,56,88,70,218,343,283,46,34,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,45,95,67,230,316,243,63,55,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28,102,86,214,285,249,61,43,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,36,78,69,203,298,267,75,42,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0
5,40,82,64,190,295,261,55,45,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0
3,47,70,83,227,298,229,62,36,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,56,86,69,227,303,234,58,43,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0
9,51,94,74,215,297,235,54,35,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6,39,79,71,236,312,283,61,26,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,51,86,79,229,325,231,56,32,11,4,1,2,1,0,0,0,0,0,0,0,0,0,0
8,35,62,43,188,290,263,59,43,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0
3,37,74,39,150,215,245,64,39,19,1,4,1,0,0,0,0,0,0,0,0,0,0,0
9,47,92,78,196,326,238,58,37,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,54,82,79,210,295,250,43,45,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0
5,41,74,70,200,295,247,48,31,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,33,104,64,182,304,250,59,37,17,4,1,1,1,0,0,0,0,0,0,0,0,0,0
7,46,81,67,214,321,249,53,33,7,6,2,1,0,0,0,0,0,0,0,0,0,0,0
4,31,90,68,217,284,264,76,43,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0
